<MAIN_INDEX>,<DATE>,<TIME>,<LAST>,<B_VOL>,<S_VOL>,<VOL>
0,20191119,100000,64092.00,0,0,0
139,20191119,100000,64140.00,2482,344,2826
146,20191119,100000,64125.00,0,176,176
155,20191119,100000,64140.00,27,15,42
162,20191119,100000,64130.00,120,5,125
200,20191119,100000,64147.00,134,9,143
204,20191119,100000,64130.00,1,10,11
205,20191119,100000,64147.00,1,2,3
213,20191119,100000,64130.00,35,6,41
292,20191119,100000,64150.00,253,58,311
338,20191119,100000,64140.00,122,16,138
395,20191119,100001,64154.00,147,119,266
504,20191119,100001,64134.00,67,200,267
535,20191119,100001,64146.00,57,39,96
629,20191119,100002,64128.00,146,207,353
821,20191119,100003,64144.00,332,156,488
926,20191119,100006,64126.00,134,187,321
990,20191119,100007,64137.00,90,72,162
1021,20191119,100008,64127.00,73,19,92
1090,20191119,100009,64142.00,163,202,365
1416,20191119,100018,64124.00,575,394,969
1597,20191119,100019,64149.00,627,24,651
1712,20191119,100023,64130.00,950,176,1126
1782,20191119,100024,64142.00,273,181,454
2120,20191119,100045,64128.00,1238,966,2204
2159,20191119,100045,64140.00,475,180,655
2278,20191119,100053,64126.00,124,284,408
2327,20191119,100053,64140.00,185,9,194
3019,20191119,100127,64102.00,826,2550,3376
3119,20191119,100133,64112.00,517,665,1182
3677,20191119,100155,64080.00,266,1542,1808
3768,20191119,100158,64094.00,156,268,424
3816,20191119,100201,64084.00,206,1,207
4804,20191119,100345,64116.00,2659,1790,4449
5264,20191119,100445,64096.00,1026,1407,2433
5573,20191119,100503,64117.00,810,866,1676
5817,20191119,100531,64100.00,1046,646,1692
6234,20191119,100619,64130.00,1874,480,2354
6762,20191119,100819,64102.00,1674,1711,3385
7530,20191119,100933,64137.00,5401,2193,7594
8259,20191119,101019,64107.00,2181,3593,5774
8328,20191119,101034,64117.00,232,305,537
8731,20191119,101053,64099.00,1926,1220,3146
8896,20191119,101110,64110.00,1193,552,1745
9443,20191119,101204,64084.00,424,1961,2385
9609,20191119,101208,64094.00,394,141,535
9956,20191119,101215,64071.00,508,1698,2206
10608,20191119,101345,64107.00,1797,880,2677
11614,20191119,101502,64061.00,1601,4886,6487
11767,20191119,101513,64076.00,428,466,894
12370,20191119,101526,64043.00,1039,3749,4788
12862,20191119,101546,64058.00,1699,813,2512
13023,20191119,101600,64044.00,1014,820,1834
13464,20191119,101656,64060.00,1572,776,2348
14052,20191119,101746,64029.00,2407,3089,5496
14180,20191119,101804,64039.00,309,578,887
14301,20191119,101820,64029.00,660,55,715
14767,20191119,101853,64051.00,1819,1964,3783
14853,20191119,101907,64040.00,700,310,1010
15045,20191119,101950,64054.00,490,431,921
15422,20191119,102033,64033.00,1059,920,1979
15621,20191119,102113,64046.00,574,317,891
16362,20191119,102158,64011.00,859,5128,5987
16855,20191119,102201,64025.00,803,3707,4510
17263,20191119,102208,64013.00,421,1496,1917
17861,20191119,102302,64033.00,2815,1978,4793
18401,20191119,102406,64002.00,658,2991,3649
18539,20191119,102409,64013.00,127,339,466
18801,20191119,102416,63996.00,303,2484,2787
19331,20191119,102436,64013.00,1463,1948,3411
19826,20191119,102444,63991.00,1025,2591,3616
20112,20191119,102453,64003.00,993,549,1542
20202,20191119,102500,63991.00,847,561,1408
20577,20191119,102502,64009.00,1301,582,1883
20904,20191119,102509,63999.00,1115,1035,2150
22522,20191119,102638,64035.00,7425,4502,11927
22836,20191119,102726,64023.00,280,175,455
23847,20191119,102937,64047.00,3189,2011,5200
23968,20191119,102959,64035.00,815,1649,2464
24292,20191119,103019,64045.00,626,2429,3055
24935,20191119,103118,64024.00,932,3109,4041
25585,20191119,103342,64037.00,2730,3083,5813
26312,20191119,103546,64016.00,6195,5012,11207
27177,20191119,103916,64040.00,8396,1269,9665
27433,20191119,104048,64028.00,981,1860,2841
27819,20191119,104215,64040.00,507,221,728
27990,20191119,104302,64025.00,1563,1939,3502
28410,20191119,104439,64039.00,1342,2581,3923
28749,20191119,104539,64029.00,180,170,350
28896,20191119,104638,64040.00,589,1027,1616
28977,20191119,104702,64030.00,385,125,510
29178,20191119,104821,64040.00,361,701,1062
29284,20191119,104858,64029.00,298,85,383
30847,20191119,105305,64054.00,7778,3108,10886
31019,20191119,105348,64043.00,340,174,514
31346,20191119,105420,64059.00,903,924,1827
