<MAIN_INDEX>,<DATE>,<TIME>,<LAST>,<B_VOL>,<S_VOL>,<VOL>
0,20191119,100000,64092.00,0,0,0
3019,20191119,100001,64154.00,9657,6606,16263
6234,20191119,100155,64080.00,9386,10215,19601
9443,20191119,100933,64137.00,14905,12015,26920
23847,20191119,102500,63991.00,42118,55931,98049
38174,20191119,110157,64092.00,57500,54935,112435
58308,20191119,112355,63915.00,63628,117295,180923
68895,20191119,113415,63989.00,35521,38194,73715
85887,20191119,121707,63880.00,57799,78667,136466
111192,20191119,133051,64021.00,100599,114755,215354
115190,20191119,134932,63967.00,12893,11403,24296
132170,20191119,141541,64100.00,89630,48261,137891
137591,20191119,145804,64026.00,14308,14325,28633
140809,20191119,151328,64078.00,8994,14727,23721
145705,20191119,153836,63987.00,16149,23357,39506
152110,20191119,160046,64079.00,21749,22050,43799
156278,20191119,162400,64012.00,10685,10510,21195
178759,20191119,180232,64097.00,92534,69318,161852
183490,20191119,180351,64045.00,27673,20541,48214
195674,20191119,190020,64139.00,42980,49905,92885
202612,20191119,193915,63975.00,19455,19852,39307
206475,20191119,194932,64050.00,13947,15599,29546
209991,20191119,195021,63956.00,8608,14848,23456
227382,20191119,234959,64080.00,54345,43077,97422
