<MAIN_INDEX>,<DATE>,<TIME>,<LAST>,<B_VOL>,<S_VOL>,<VOL>
0,20191119,100000,64092.00,0,0,0
23847,20191119,100933,64137.00,76066,84767,160833
38174,20191119,102500,63991.00,99618,110866,210484
58308,20191119,110157,64092.00,121128,172230,293358
111192,20191119,121707,63880.00,257547,348911,606458
145705,20191119,141541,64100.00,242573,226828,469401
178759,20191119,153836,63987.00,141117,125235,266352
202612,20191119,190020,64139.00,182642,159616,342258
227382,20191119,195021,63956.00,96355,93376,189731
227382,20191119,234959,64080.00,54345,43077,97422
